LEAID,total_students,american_indian_alaskan_native_students,american_indian_alaskan_native_male_students,american_indian_alaskan_native_female_students,asian_hawaiian_native_pacific_islander_students,asian_hawaiian_native_pacific_islander_male_students,asian_hawaiian_native_pacific_islander_female_students,hispanic_students,hispanic_male_students,hispanic_female_students,black_non_hispanic_students,black_non_hispanic_male_students,black_non_hispanic_female_students,white_students,white_male_students,white_female_students
2308340,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1
2308370,765,0,0,0,2,0,2,4,1,3,8,4,4,751,392,359
2308400,87,0,0,0,0,0,0,0,0,0,0,0,0,87,45,42
2308490,157,0,0,0,0,0,0,0,0,0,2,2,0,155,73,82
2308500,701,2,0,2,2,0,2,0,0,0,7,3,4,690,347,343
2308520,899,3,1,2,3,2,1,1,0,1,5,5,0,887,470,417
2308560,113,0,0,0,0,0,0,1,0,1,1,1,0,111,51,60
2308700,78,3,2,1,0,0,0,0,0,0,0,0,0,75,39,36
2308940,157,0,0,0,1,0,1,0,0,0,3,0,3,153,71,82
2309100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2309110,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2309200,1017,2,0,2,16,11,5,19,13,6,23,9,14,957,504,453
2309210,1543,47,26,21,17,5,12,10,5,5,24,12,12,1445,750,695
2309270,190,0,0,0,1,0,1,0,0,0,0,0,0,189,95,94
2309300,824,11,8,3,23,9,14,21,11,10,12,7,5,757,390,367
2309330,395,0,0,0,2,0,2,0,0,0,1,1,0,392,220,172
2309390,100,0,0,0,0,0,0,2,2,0,1,0,1,97,56,41
2309510,149,0,0,0,2,2,0,0,0,0,3,1,2,144,73,71
2309560,114,6,0,6,1,0,1,0,0,0,0,0,0,107,45,62
2309630,70,0,0,0,1,1,0,0,0,0,0,0,0,69,36,33
2309650,118,21,7,14,0,0,0,1,0,1,2,2,0,94,49,45
2309690,166,0,0,0,2,1,1,0,0,0,2,1,1,162,81,81
2309750,147,0,0,0,2,1,1,1,0,1,0,0,0,144,84,60
2309870,1158,4,1,3,2,0,2,0,0,0,12,6,6,1140,564,576
2309930,7306,42,22,18,613,287,324,226,118,106,941,497,442,5476,2778,2696
2309990,144,9,7,2,0,0,0,2,1,1,0,0,0,133,61,72
